[2024-04-15 22:08:55] [info] Gin log method:POST , path:/api/game/creategame , status:200 , tc:25ms
[2024-04-15 22:08:59] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:08:59] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:09:09] [info] Gin log method:OPTIONS , path:/user/userinfo , status:204 , tc:0ms
[2024-04-15 22:09:09] [info] Gin log method:GET , path:/user/userinfo , status:200 , tc:2ms
[2024-04-15 22:09:37] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-15 22:09:37] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-15 22:09:38] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:09:38] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-15 22:09:42] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:09:42] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:09:47] [info] Gin log method:OPTIONS , path:/api/game/applygame , status:204 , tc:0ms
[2024-04-15 22:09:47] [info] Gin log method:POST , path:/api/game/applygame , status:200 , tc:8ms
[2024-04-15 22:13:29] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:13:37] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:14:44] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:14:44] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:14:49] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:14:49] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:14:49] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:14:49] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:15:10] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:15:10] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:15:15] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=false&page=1&perPage=10 , status:204 , tc:1ms
[2024-04-15 22:15:15] [info] Gin log method:GET , path:/api/game/gamelist?canApply=false&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:15:15] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=false&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:15:15] [info] Gin log method:GET , path:/api/game/gamelist?canApply=false&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:15:37] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:15:37] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:15:54] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:15:54] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:15:59] [info] Gin log method:OPTIONS , path:/api/game/applygame , status:204 , tc:0ms
[2024-04-15 22:15:59] [info] Gin log method:POST , path:/api/game/applygame , status:200 , tc:2ms
[2024-04-15 22:16:03] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:16:03] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:16:03] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:16:03] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:16:05] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:16:05] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:0ms
[2024-04-15 22:16:08] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:16:08] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:16:10] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=false&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:16:10] [info] Gin log method:GET , path:/api/game/gamelist?canApply=false&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:16:10] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=false&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:16:10] [info] Gin log method:GET , path:/api/game/gamelist?canApply=false&page=1&perPage=10 , status:200 , tc:0ms
[2024-04-15 22:16:12] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:16:12] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:16:12] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:16:12] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:0ms
[2024-04-15 22:19:22] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:19:22] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:21:52] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:21:52] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:22:05] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:22:05] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:22:41] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:22:41] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:23:44] [info] Gin log method:OPTIONS , path:/api/game/applygame , status:204 , tc:0ms
[2024-04-15 22:23:44] [info] Gin log method:POST , path:/api/game/applygame , status:200 , tc:2ms
[2024-04-15 22:23:47] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:23:47] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-15 22:25:20] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:25:20] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:25:38] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:25:38] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:25:53] [info] Gin log method:OPTIONS , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:25:53] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:25:53] [info] Gin log method:GET , path:/api/game/gamelist?canApply=true&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:25:56] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:25:56] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:33:39] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:33:39] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-15 22:33:54] [info] Gin log method:OPTIONS , path:/api/game/gamelist?stadium=1&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:33:54] [info] Gin log method:GET , path:/api/game/gamelist?stadium=1&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:33:57] [info] Gin log method:OPTIONS , path:/api/game/gamelist?stadium=&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:33:57] [info] Gin log method:GET , path:/api/game/gamelist?stadium=&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:34:00] [info] Gin log method:OPTIONS , path:/api/game/gamelist?stadium=%E7%AF%AE%E7%90%83%E5%9C%BA1&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:34:00] [info] Gin log method:GET , path:/api/game/gamelist?stadium=%E7%AF%AE%E7%90%83%E5%9C%BA1&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:34:41] [info] Gin log method:OPTIONS , path:/api/game/gamelist?stadium=%E7%AF%AE%E7%90%83%E5%9C%BA1&page=1&perPage=10 , status:204 , tc:0ms
