[2024-04-11 16:52:00] [error] [record not found]
[2024-04-11 16:59:26] [info] Gin log method:OPTIONS , path:/admin/adminlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:59:26] [info] Gin log method:GET , path:/admin/adminlist?page=1&perPage=10 , status:200 , tc:6ms
[2024-04-11 16:59:29] [info] Gin log method:OPTIONS , path:/admin/updateadmin , status:204 , tc:0ms
[2024-04-11 16:59:29] [info] Gin log method:POST , path:/admin/updateadmin , status:200 , tc:10ms
[2024-04-11 16:59:29] [info] Gin log method:OPTIONS , path:/admin/adminlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:59:29] [info] Gin log method:GET , path:/admin/adminlist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-11 16:59:33] [info] Gin log method:OPTIONS , path:/admin/updateadmin , status:204 , tc:0ms
[2024-04-11 16:59:33] [info] Gin log method:POST , path:/admin/updateadmin , status:200 , tc:1ms
[2024-04-11 16:59:40] [info] Gin log method:OPTIONS , path:/admin/updateadmin , status:204 , tc:0ms
[2024-04-11 16:59:40] [info] Gin log method:POST , path:/admin/updateadmin , status:200 , tc:15ms
[2024-04-11 16:59:40] [info] Gin log method:OPTIONS , path:/admin/adminlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:59:40] [info] Gin log method:GET , path:/admin/adminlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-11 17:01:20] [info] Gin log method:OPTIONS , path:/admin/updateadmin , status:204 , tc:0ms
[2024-04-11 17:01:20] [info] Gin log method:POST , path:/admin/updateadmin , status:200 , tc:1ms
[2024-04-11 17:01:24] [info] Gin log method:OPTIONS , path:/admin/updateadmin , status:204 , tc:0ms
[2024-04-11 17:01:24] [info] Gin log method:POST , path:/admin/updateadmin , status:200 , tc:16ms
[2024-04-11 17:01:24] [info] Gin log method:OPTIONS , path:/admin/adminlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 17:01:24] [info] Gin log method:GET , path:/admin/adminlist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-11 17:19:21] [info] Gin log method:OPTIONS , path:/admin/login , status:204 , tc:0ms
[2024-04-11 17:19:21] [info] Gin log method:POST , path:/admin/login , status:200 , tc:2ms
[2024-04-11 17:19:22] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 17:19:22] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-11 17:19:54] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-11 17:19:54] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-11 17:19:56] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 17:19:56] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-11 17:20:00] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=3&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 17:20:00] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=3&page=1&perPage=10 , status:200 , tc:17ms
[2024-04-11 17:20:09] [info] Gin log method:OPTIONS , path:/user/userinfo , status:204 , tc:0ms
[2024-04-11 17:20:09] [info] Gin log method:GET , path:/user/userinfo , status:200 , tc:1ms
[2024-04-11 17:23:25] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 17:23:25] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-11 17:23:26] [info] Gin log method:OPTIONS , path:/user/userinfo , status:204 , tc:0ms
[2024-04-11 17:23:26] [info] Gin log method:GET , path:/user/userinfo , status:200 , tc:1ms
