[2024-04-01 19:15:08] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-01 19:15:08] [info] Gin log method:POST , path:/user/login , status:200 , tc:2ms
[2024-04-01 19:15:19] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:15:19] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:15:27] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:15:27] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:15:35] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:15:35] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:15:36] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:15:36] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:15:37] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:15:37] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:15:38] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:15:46] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:15:46] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:15:56] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:15:56] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:15:58] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=3 , status:204 , tc:0ms
[2024-04-01 19:15:58] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:15:58] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:15:58] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=3 , status:200 , tc:2ms
[2024-04-01 19:16:12] [info] Gin log method:OPTIONS , path:/api/stadium/order , status:204 , tc:0ms
[2024-04-01 19:16:12] [info] Gin log method:POST , path:/api/stadium/order , status:200 , tc:16ms
[2024-04-01 19:16:18] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:16:18] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:2ms
[2024-04-01 19:26:24] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:401 , tc:0ms
[2024-04-01 19:26:30] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:401 , tc:0ms
[2024-04-01 19:26:36] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:401 , tc:0ms
[2024-04-01 19:27:07] [info] Gin log method:GET , path:/api/record/recordlist?_ijt=sd3tr57vmr0223e5udqq7b2443&_ij_reload=RELOAD_ON_SAVE&page=1 , status:401 , tc:0ms
[2024-04-01 19:29:10] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-01 19:29:10] [info] Gin log method:POST , path:/user/login , status:200 , tc:2ms
[2024-04-01 19:29:13] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:29:13] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:29:21] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:29:21] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:29:24] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:29:24] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:29:25] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:29:27] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:29:27] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:29:33] [info] Gin log method:OPTIONS , path:/api/record/cancelorder , status:204 , tc:0ms
[2024-04-01 19:29:33] [info] Gin log method:POST , path:/api/record/cancelorder , status:200 , tc:17ms
[2024-04-01 19:29:33] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:29:33] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:3ms
[2024-04-01 19:31:30] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:31:30] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:31:32] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:31:32] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:31:32] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:31:32] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 19:31:40] [info] Gin log method:OPTIONS , path:/api/stadium/order , status:204 , tc:0ms
[2024-04-01 19:31:40] [info] Gin log method:POST , path:/api/stadium/order , status:200 , tc:15ms
[2024-04-01 19:32:22] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:32:33] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=&$$id=f9abbfb6d4e1 , status:204 , tc:0ms
[2024-04-01 19:33:18] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=&$$id=18d23b2d6d35 , status:204 , tc:0ms
[2024-04-01 19:34:28] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-01 19:34:28] [info] Gin log method:POST , path:/user/login , status:200 , tc:9ms
[2024-04-01 19:34:39] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:34:39] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:34:42] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:2ms
[2024-04-01 19:36:50] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-01 19:36:50] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-01 19:36:52] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:36:52] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:36:55] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:36:55] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:36:55] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:9ms
[2024-04-01 19:36:59] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=3 , status:204 , tc:0ms
[2024-04-01 19:36:59] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:36:59] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=3 , status:200 , tc:2ms
[2024-04-01 19:37:04] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:37:04] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:37:08] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:37:08] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:37:08] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:37:08] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:0ms
[2024-04-01 19:37:10] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:37:10] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:37:29] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=&$$id=cc2d03c3f099 , status:401 , tc:0ms
[2024-04-01 19:37:37] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=&$$id=cc2d03c3f099 , status:401 , tc:0ms
[2024-04-01 19:38:52] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-01 19:38:52] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-01 19:38:54] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:38:54] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:38:56] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:38:56] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:38:56] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:38:56] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 19:39:04] [info] Gin log method:OPTIONS , path:/api/stadium/order , status:204 , tc:0ms
[2024-04-01 19:39:04] [info] Gin log method:POST , path:/api/stadium/order , status:200 , tc:14ms
[2024-04-01 19:39:04] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:39:04] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:39:07] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:39:07] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:39:07] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:3ms
[2024-04-01 19:39:15] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:39:15] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
