[2024-04-03 00:12:47] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:12:48] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:12:48] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-03 00:12:48] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:12:48] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-03 00:12:51] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-03 00:12:51] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:18:44] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:18:44] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:18:48] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:18:48] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:18:49] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:18:54] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:18:54] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:18:55] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:18:55] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:18:56] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:18:57] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:18:58] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:18:59] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:03] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:19:03] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:05] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:19:05] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:08] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:10] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:19:10] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:13] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:19:13] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:14] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:22] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:19:22] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:33] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:19:33] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:35] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:19:35] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:19:42] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:19:42] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-03 00:21:14] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:21:14] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-03 00:21:16] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:21:16] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-03 00:21:28] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
